year,firm_id,company,naics2,chicago_sites,chicago_emp,chicago_emp_observed,chicago_sites_emp_unknown,cook_ex_sites,cook_ex_emp,msa_ex_cook_sites,msa_ex_cook_emp,il_ex_msa_sites,il_ex_msa_emp,il_sites,il_emp,n_status_codes,sites_in_and_out_chicago,pct_chicago_emp_observed
1997,151011921,YMCA OF THE USA,81,33,1399.0,0.0,0,15,1788.0,32,1653.0,61,3436.0,141,8276.0,2,True,0.0
1997,465474104,CHILDREN & FAMILY SVC,92,16,1380.0,0.0,4,3,54.0,8,313.0,62,2280.0,89,4027.0,2,True,0.0
1997,007535511,STONE CONTAINER CORP,32,9,1371.0,0.0,2,1,6.0,6,598.0,3,100.0,19,2075.0,3,True,0.0
1997,006407589,PRICE WATERHOUSE LLP,54,2,1370.0,0.0,0,0,0.0,0,0.0,1,35.0,3,1405.0,1,True,0.0
1997,004591012,UNION PACIFIC RAILROAD CO,53,7,1364.0,0.0,0,14,399.0,19,182.0,27,341.0,67,2286.0,1,True,0.0
1997,441362209,HELLER FINANCIAL INC,52,5,1328.0,0.0,0,0,0.0,1,50.0,0,0.0,6,1378.0,3,True,0.0
1997,407759596,CERTIFIED LIFE INSURANCE,52,3,1326.0,0.0,0,9,497.0,5,27.0,17,739.0,34,2589.0,2,True,0.0
1997,007540735,WILLIAM WRIGLEY JR CO,31,4,1320.0,0.0,1,0,0.0,2,500.0,0,0.0,6,1820.0,3,True,0.0
1997,468172937,USEPA-PROTECTION AGENCY,92,5,1314.0,0.0,3,0,0.0,0,0.0,0,0.0,5,1314.0,1,False,0.0
1997,884428798,ABN AMRO CHICAGO CORP,52,3,1308.0,0.0,0,0,0.0,0,0.0,0,0.0,3,1308.0,2,False,0.0
1997,003745171,TRUE NORTH COMMUNICATIONS INC,54,7,1304.0,0.0,3,0,0.0,0,0.0,1,4.0,8,1308.0,3,True,0.0
1997,433570033,KPMG PEAT MARWICK,54,1,1300.0,0.0,0,0,0.0,0,0.0,2,9.0,3,1309.0,1,True,0.0
1997,441363983,MORTON INTERNATIONAL INC,42,5,1258.0,0.0,0,1,45.0,6,627.0,0,0.0,12,1930.0,3,True,0.0
1997,443650288,UNITED INSURANCE CO,52,5,1253.0,0.0,0,2,23.0,0,0.0,6,164.0,13,1440.0,3,True,0.0
1997,441320868,WESTERN UNION,52,275,1243.0,0.0,1,135,719.0,150,1026.0,152,1336.0,712,4324.0,1,True,0.0
1997,853720100,JMB REALTY CORP,52,9,1235.0,0.0,2,9,98.0,5,120.0,0,0.0,23,1453.0,2,True,0.0
1997,424813632,CHICAGO TRANSIT AUTHORITY,48,2,1219.0,0.0,0,0,0.0,0,0.0,0,0.0,2,1219.0,2,False,0.0
1997,496971326,AMERICAN MEDICAL ASSN,81,1,1200.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1200.0,1,False,0.0
1997,947640397,METAL BOX INTL INC,42,1,1200.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1200.0,1,False,0.0
1997,005781216,CENTRAL STEEL & WIRE CO,33,1,1200.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1200.0,1,False,0.0
