sample,period,geo,k,n_k,base_sum,ratio,lo,hi,se_log
single_all,post_2014_2022,chicago,39,121.0,836.0,0.8684210526315789,0.7176885644423877,1.0508111206142523,0.09726579593423981
single_all,post_2014_2022,chicago,59,56.0,495.0,0.6787878787878788,0.5149007079318154,0.8948385140895208,0.14098703797635043
single_all,post_2014_2022,chicago,69,7.0,270.0,0.15555555555555556,0.07345338020946907,0.3294270569331562,0.38283266130366483
single_all,post_2014_2022,illinois_ex_cook,49,659.0,3560.0,1.1106741573033707,1.022090003954948,1.2069358656558464,0.0424069517798356
single_all,post_2014_2022,illinois_ex_cook,29,1010.0,9743.0,0.6219850148824797,0.5829638187632668,0.663618129096034,0.03305656971217254
single_all,post_2014_2022,illinois_ex_cook,39,376.0,4574.0,0.4932225623087013,0.44399296933148547,0.5479106940288875,0.053648872219134884
single_all,post_2014_2022,illinois_ex_cook,59,412.0,1698.0,1.4558303886925794,1.3072620674291133,1.621283270927399,0.05491914617676629
single_all,post_2014_2022,illinois_ex_cook,69,109.0,1465.0,0.44641638225255975,0.36747654193191376,0.5423137632017547,0.09928195094407037
single_all,DiD_log,chicago_vs_control,49,,,-0.2004310972861068,-0.5975198004276717,0.1966576058554581,0.20259627711304332
single_all,DiD_log_test_only,chicago_vs_control,49,,,0.031377627107617045,-0.2313459086088135,0.2941011628240476,0.13404262026348496
all_observed,pre_2006_2011,chicago,49,173.0,638.0,1.626959247648903,1.3753435624218062,1.924607396895986,0.08571898821108136
all_observed,pre_2006_2011,chicago,29,235.0,2475.0,0.5696969696969697,0.49835663950346243,0.6512497507914814,0.06825950155821953
all_observed,pre_2006_2011,chicago,39,181.0,1118.0,0.9713774597495527,0.830209999167676,1.136548789168368,0.080120635676956
all_observed,pre_2006_2011,chicago,59,23.0,514.0,0.26848249027237353,0.1768061097384644,0.40769432509703274,0.2131285672109537
all_observed,pre_2006_2011,chicago,69,36.0,312.0,0.6923076923076923,0.49030715773318645,0.9775299692631054,0.17601961817623052
all_observed,pre_2006_2011,illinois_ex_cook,49,486.0,2765.0,1.054611211573237,0.9576885442454205,1.1613429170255933,0.049186144609302054
all_observed,pre_2006_2011,illinois_ex_cook,29,994.0,9812.0,0.6078271504280474,0.5694381387026921,0.6488041802735217,0.03328591651888761
all_observed,pre_2006_2011,illinois_ex_cook,39,457.0,4653.0,0.5892972275951,0.5353114452170372,0.6487274381187069,0.04902141283125115
all_observed,pre_2006_2011,illinois_ex_cook,59,160.0,1751.0,0.5482581382067391,0.4663189774105307,0.6445952248803584,0.08258996444664864
all_observed,pre_2006_2011,illinois_ex_cook,69,92.0,1060.0,0.5207547169811321,0.42083958981251474,0.644391549233552,0.1086874484188786
all_observed,phase_2012_2013,chicago,49,71.0,204.0,2.088235294117647,1.5940026187896703,2.7357085817774416,0.13779139242553304
all_observed,phase_2012_2013,chicago,29,79.0,729.0,0.6502057613168725,0.515496465676231,0.8201172271764561,0.11844817415470835
all_observed,phase_2012_2013,chicago,39,59.0,362.0,0.9779005524861878,0.74265232745041,1.2876678025581854,0.14039794685678064
all_observed,phase_2012_2013,chicago,59,6.0,148.0,0.24324324324324323,0.10753720038744347,0.5502028616173668,0.4164413805368331
all_observed,phase_2012_2013,chicago,69,13.0,100.0,0.7799999999999999,0.4376557361493842,1.390133727831082,0.29482719841133537
all_observed,phase_2012_2013,illinois_ex_cook,49,161.0,850.0,1.1364705882352941,0.9602733020886047,1.344997715873915,0.08595144392305981
all_observed,phase_2012_2013,illinois_ex_cook,29,299.0,2954.0,0.6073121191604605,0.5392044571923543,0.6840225542638544,0.060687771754758556
all_observed,phase_2012_2013,illinois_ex_cook,39,144.0,1452.0,0.5950413223140496,0.5013927727351475,0.7061812505388595,0.08736789844447572
all_observed,phase_2012_2013,illinois_ex_cook,59,56.0,536.0,0.6268656716417911,0.47602668753575683,0.8255011338064875,0.1404379382465219
all_observed,phase_2012_2013,illinois_ex_cook,69,34.0,329.0,0.6200607902735562,0.435606124172516,0.8826216214591159,0.18014238364053559
all_observed,post_2014_2022,chicago,49,341.0,1253.0,1.6328810853950517,1.4486488366051533,1.8405431127734748,0.0610789318555537
all_observed,post_2014_2022,chicago,29,295.0,2917.0,0.6067877956804937,0.5383086752893687,0.6839782561350524,0.06109540467282193
all_observed,post_2014_2022,chicago,39,171.0,1325.0,0.7743396226415094,0.6603349500204426,0.9080268296779272,0.08125681631411819
all_observed,post_2014_2022,chicago,59,53.0,547.0,0.5813528336380256,0.438513097829563,0.770720689648183,0.14386131548544015
all_observed,post_2014_2022,chicago,69,47.0,379.0,0.7440633245382586,0.5495070907409797,1.007503342998516,0.1546451362704999
all_observed,post_2014_2022,illinois_ex_cook,49,839.0,4000.0,1.2585000000000002,1.1682359071503694,1.3557383746775546,0.037972294021168064
all_observed,post_2014_2022,illinois_ex_cook,29,1223.0,11722.0,0.6260023886708752,0.5901974895053389,0.6639794265307469,0.030049478568869598
