unit,sample,data_year,threshold,control,chicago_spike,control_spike,gap
firm,rows,2024,60,cook_ex_chicago,27.125,54.5,-27.375
firm,rows,2025,60,cook_ex_chicago,28.266666666666666,54.75,-26.483333333333334
firm,rows,2018,40,illinois_ex_cook,22.322580645161292,24.340425531914892,-2.0178448867536005
firm,rows,2019,40,illinois_ex_cook,24.266666666666666,26.229885057471265,-1.9632183908045988
firm,rows,2020,40,illinois_ex_cook,24.551724137931036,23.1340206185567,1.417703519374335
firm,rows,2021,40,illinois_ex_cook,21.9375,22.927835051546392,-0.990335051546392
firm,rows,2022,40,illinois_ex_cook,23.79310344827586,24.172043010752688,-0.3789395624768268
firm,rows,2023,40,illinois_ex_cook,22.333333333333332,23.64444444444445,-1.3111111111111171
firm,rows,2024,40,illinois_ex_cook,23.357142857142858,22.881720430107528,0.4754224270353298
firm,rows,2025,40,illinois_ex_cook,22.06896551724138,21.666666666666668,0.40229885057471293
firm,rows,2018,50,illinois_ex_cook,10.18,16.524064171122994,-6.344064171122994
firm,rows,2019,50,illinois_ex_cook,9.88118811881188,17.049723756906076,-7.1685356380941965
firm,rows,2020,50,illinois_ex_cook,9.816326530612244,17.137931034482758,-7.321604503870514
firm,rows,2021,50,illinois_ex_cook,10.193548387096774,16.31111111111111,-6.117562724014336
firm,rows,2022,50,illinois_ex_cook,10.32967032967033,15.923497267759563,-5.593826938089233
firm,rows,2023,50,illinois_ex_cook,9.978260869565217,15.301075268817204,-5.322814399251987
firm,rows,2024,50,illinois_ex_cook,10.505747126436782,15.631284916201118,-5.125537789764335
firm,rows,2025,50,illinois_ex_cook,10.32183908045977,15.29608938547486,-4.97425030501509
firm,rows,2018,60,illinois_ex_cook,40.54545454545455,27.32,13.225454545454546
firm,rows,2019,60,illinois_ex_cook,29.466666666666665,28.5,0.966666666666665
firm,rows,2020,60,illinois_ex_cook,34.15384615384615,23.75438596491228,10.399460188933872
firm,rows,2021,60,illinois_ex_cook,37.166666666666664,23.75438596491228,13.412280701754383
firm,rows,2022,60,illinois_ex_cook,32.714285714285715,25.444444444444443,7.269841269841272
firm,rows,2023,60,illinois_ex_cook,27.25,23.454545454545453,3.7954545454545467
firm,rows,2024,60,illinois_ex_cook,27.125,24.0,3.125
firm,rows,2025,60,illinois_ex_cook,28.266666666666666,23.85185185185185,4.4148148148148145
firm,firms,2018,40,cook_ex_chicago,27.28,28.96551724137931,-1.6855172413793085
firm,firms,2019,40,cook_ex_chicago,32.54545454545455,25.612903225806452,6.932551319648095
firm,firms,2020,40,cook_ex_chicago,33.142857142857146,27.448275862068964,5.6945812807881815
firm,firms,2021,40,cook_ex_chicago,28.75,27.785714285714285,0.9642857142857153
firm,firms,2022,40,cook_ex_chicago,29.565217391304348,30.8,-1.234782608695653
firm,firms,2023,40,cook_ex_chicago,26.75,33.130434782608695,-6.380434782608695
firm,firms,2024,40,cook_ex_chicago,27.130434782608695,34.63636363636363,-7.505928853754938
firm,firms,2025,40,cook_ex_chicago,26.434782608695652,34.857142857142854,-8.422360248447202
firm,firms,2018,50,cook_ex_chicago,10.22680412371134,15.283950617283953,-5.057146493572613
firm,firms,2019,50,cook_ex_chicago,10.147368421052631,16.266666666666666,-6.119298245614035
firm,firms,2020,50,cook_ex_chicago,10.266666666666667,16.194444444444443,-5.927777777777775
firm,firms,2021,50,cook_ex_chicago,10.627906976744184,15.555555555555555,-4.927648578811372
firm,firms,2022,50,cook_ex_chicago,10.55813953488372,15.424657534246576,-4.866517999362856
firm,firms,2023,50,cook_ex_chicago,10.0,14.985915492957746,-4.985915492957746
firm,firms,2024,50,cook_ex_chicago,10.50602409638554,15.246376811594205,-4.740352715208665
firm,firms,2025,50,cook_ex_chicago,10.265060240963855,16.375,-6.109939759036145
firm,firms,2018,60,cook_ex_chicago,48.22222222222222,43.333333333333336,4.888888888888886
firm,firms,2019,60,cook_ex_chicago,35.833333333333336,41.666666666666664,-5.833333333333329
firm,firms,2020,60,cook_ex_chicago,43.2,47.8,-4.599999999999994
firm,firms,2021,60,cook_ex_chicago,43.0,50.44444444444444,-7.444444444444443
firm,firms,2022,60,cook_ex_chicago,44.4,53.75,-9.350000000000001
firm,firms,2023,60,cook_ex_chicago,38.36363636363637,46.22222222222222,-7.858585858585855
firm,firms,2024,60,cook_ex_chicago,42.0,59.42857142857143,-17.42857142857143
firm,firms,2025,60,cook_ex_chicago,41.0,59.42857142857143,-18.42857142857143
firm,firms,2018,40,illinois_ex_cook,27.28,25.11111111111111,2.1688888888888904
firm,firms,2019,40,illinois_ex_cook,32.54545454545455,27.317073170731707,5.22838137472284
firm,firms,2020,40,illinois_ex_cook,33.142857142857146,26.53012048192771,6.612736660929436
firm,firms,2021,40,illinois_ex_cook,28.75,26.14457831325301,2.6054216867469897
firm,firms,2022,40,illinois_ex_cook,29.565217391304348,28.05128205128205,1.5139353400222966
firm,firms,2023,40,illinois_ex_cook,26.75,28.216216216216218,-1.4662162162162176
firm,firms,2024,40,illinois_ex_cook,27.130434782608695,26.58974358974359,0.5406911928651041
firm,firms,2025,40,illinois_ex_cook,26.434782608695652,26.38961038961039,0.04517221908526281
