company,firm_id,naics2,naics3,n_components,n_estab,emp_all,emp_clean,emp_obs,n_flagged,group,wfh_rate,emp_unadjusted,qualifies_unadjusted,emp_census,qualifies_census,emp_census_all_outside,qualifies_census_all_outside
UNITED STATES GYPSUM CO,007538564,32,327,1,3.0,1469.0,1469.0,1400.0,0.0,Manufacturing,0.11379548024349065,1469.0,True,1417.6157336718848,True,1301.8344395223123,True
TACO BELL,959792284,72,722,1,76.0,1462.0,1462.0,903.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1462.0,True,1430.874086380351,True,1360.7398056365403,True
ARCHER-DANIELS-MIDLAND CO,007502875,11,311,1,5.0,1440.0,1440.0,1430.0,0.0,"Agriculture, forestry, fishing and hunting, and mining",0.1290864935550159,1440.0,True,1382.8617878398854,True,1254.115449280777,True
SKIDMORE OWINGS & MERRILL LLP,424597185,81,541,1,1.0,1400.0,1400.0,1400.0,0.0,Other services (except public administration),0.13723383599767006,1400.0,True,1340.942835706257,True,1207.8726296032619,True
EQ OFFICE,680258050,54,531,1,49.0,1366.0,1366.0,737.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1366.0,True,1235.7999462031373,True,942.4274451600211,True
DOLLAR TREE,678851924,45,452,1,124.0,1353.0,1353.0,952.0,0.0,Retail trade,0.09332612079434856,1353.0,True,1314.186361014446,True,1226.7297585652464,True
BAIRD & WARNER REAL ESTATE,421766768,55,531,1,10.0,1325.0,1325.0,1074.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1325.0,True,1198.707854113585,True,914.1408234531683,True
OAK STREET HEALTH PORTAGE PARK,400624805,62,621,1,87.0,1319.0,1319.0,525.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1319.0,True,1278.2997090282145,True,1186.5920191511843,True
BURGER KING,422011576,72,722,1,46.0,1316.0,1316.0,1050.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1316.0,True,1287.9824197513967,True,1224.8519727891157,True
COMMUNITY FIRST MEDICAL CTR,COMMUNITY FIRST MEDICAL CENTER,62,622,14,16.0,1315.0,1315.0,1200.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1315.0,True,1274.4231367491295,True,1182.9935596541375,True
