data_year,geography,unit,sample,threshold,n_units,n_at_threshold,n_neighbours,spike_ratio
2021,chicago,firm,all,50,96684,527,99,10.646464646464647
2021,chicago,firm,all,60,96684,227,22,20.636363636363637
2021,chicago,firm,rows,40,34589,351,32,21.9375
2021,chicago,firm,rows,50,34589,474,93,10.193548387096774
2021,chicago,firm,rows,60,34589,223,12,37.166666666666664
2021,chicago,firm,firms,40,33708,345,24,28.75
2021,chicago,firm,firms,50,33708,457,86,10.627906976744185
2021,chicago,firm,firms,60,33708,215,10,43.0
2021,cook_ex_chicago,establishment,all,40,107277,617,55,22.436363636363637
2021,cook_ex_chicago,establishment,all,50,107277,874,91,19.208791208791208
2021,cook_ex_chicago,establishment,all,60,107277,321,19,33.78947368421053
2021,cook_ex_chicago,establishment,rows,40,43395,506,51,19.84313725490196
2021,cook_ex_chicago,establishment,rows,50,43395,743,85,17.48235294117647
2021,cook_ex_chicago,establishment,rows,60,43395,286,7,81.71428571428571
2021,cook_ex_chicago,firm,all,40,95108,454,38,23.894736842105264
2021,cook_ex_chicago,firm,all,50,95108,665,89,14.9438202247191
2021,cook_ex_chicago,firm,all,60,95108,255,35,14.571428571428571
2021,cook_ex_chicago,firm,rows,40,36452,402,34,23.647058823529413
2021,cook_ex_chicago,firm,rows,50,36452,579,77,15.03896103896104
2021,cook_ex_chicago,firm,rows,60,36452,237,9,52.666666666666664
2021,cook_ex_chicago,firm,firms,40,35550,389,28,27.785714285714285
2021,cook_ex_chicago,firm,firms,50,35550,560,72,15.555555555555555
2021,cook_ex_chicago,firm,firms,60,35550,227,9,50.44444444444444
2021,illinois_ex_cook,establishment,all,40,317967,1844,152,24.263157894736842
2021,illinois_ex_cook,establishment,all,50,317967,2199,270,16.288888888888888
2021,illinois_ex_cook,establishment,all,60,317967,1048,83,25.253012048192772
2021,illinois_ex_cook,establishment,rows,40,156668,1534,123,24.943089430894307
2021,illinois_ex_cook,establishment,rows,50,156668,1974,209,18.88995215311005
2021,illinois_ex_cook,establishment,rows,60,156668,927,46,40.30434782608695
2021,illinois_ex_cook,firm,all,40,271084,1260,111,22.7027027027027
2021,illinois_ex_cook,firm,all,50,271084,1573,231,13.619047619047619
2021,illinois_ex_cook,firm,all,60,271084,746,94,15.872340425531915
2021,illinois_ex_cook,firm,rows,40,127176,1112,97,22.927835051546392
2021,illinois_ex_cook,firm,rows,50,127176,1468,180,16.31111111111111
2021,illinois_ex_cook,firm,rows,60,127176,677,57,23.75438596491228
2021,illinois_ex_cook,firm,firms,40,125068,1085,83,26.14457831325301
2021,illinois_ex_cook,firm,firms,50,125068,1451,170,17.070588235294117
2021,illinois_ex_cook,firm,firms,60,125068,656,43,30.511627906976745
2022,chicago,establishment,all,40,104249,483,35,27.6
2022,chicago,establishment,all,50,104249,656,118,11.11864406779661
2022,chicago,establishment,all,60,104249,310,15,41.333333333333336
2022,chicago,establishment,rows,40,39236,422,33,25.575757575757574
2022,chicago,establishment,rows,50,39236,577,99,11.656565656565656
2022,chicago,establishment,rows,60,39236,295,12,49.166666666666664
2022,chicago,firm,all,40,95139,379,45,16.844444444444445
2022,chicago,firm,all,50,95139,517,100,10.34
2022,chicago,firm,all,60,95139,236,22,21.454545454545453
2022,chicago,firm,rows,40,34468,345,29,23.79310344827586
2022,chicago,firm,rows,50,34468,470,91,10.32967032967033
2022,chicago,firm,rows,60,34468,229,14,32.714285714285715
2022,chicago,firm,firms,40,33563,340,23,29.565217391304348
2022,chicago,firm,firms,50,33563,454,86,10.55813953488372
2022,chicago,firm,firms,60,33563,222,10,44.4
2022,cook_ex_chicago,establishment,all,40,108079,623,51,24.431372549019606
2022,cook_ex_chicago,establishment,all,50,108079,879,88,19.977272727272727
2022,cook_ex_chicago,establishment,all,60,108079,314,19,33.05263157894737
2022,cook_ex_chicago,establishment,rows,40,43635,504,49,20.571428571428573
2022,cook_ex_chicago,establishment,rows,50,43635,751,83,18.096385542168676
2022,cook_ex_chicago,establishment,rows,60,43635,278,6,92.66666666666667
2022,cook_ex_chicago,firm,all,40,96024,452,39,23.17948717948718
2022,cook_ex_chicago,firm,all,50,96024,663,86,15.418604651162791
2022,cook_ex_chicago,firm,all,60,96024,248,39,12.717948717948717
2022,cook_ex_chicago,firm,rows,40,36719,395,31,25.483870967741936
2022,cook_ex_chicago,firm,rows,50,36719,579,79,14.658227848101266
2022,cook_ex_chicago,firm,rows,60,36719,224,8,56.0
2022,cook_ex_chicago,firm,firms,40,35785,385,25,30.8
2022,cook_ex_chicago,firm,firms,50,35785,563,73,15.424657534246576
2022,cook_ex_chicago,firm,firms,60,35785,215,8,53.75
2022,illinois_ex_cook,establishment,all,40,316762,1834,149,24.61744966442953
2022,illinois_ex_cook,establishment,all,50,316762,2189,265,16.52075471698113
2022,illinois_ex_cook,establishment,all,60,316762,1051,81,25.950617283950617
2022,illinois_ex_cook,establishment,rows,40,156950,1538,120,25.633333333333333
2022,illinois_ex_cook,establishment,rows,50,156950,1971,209,18.861244019138756
2022,illinois_ex_cook,establishment,rows,60,156950,938,47,39.91489361702128
2022,illinois_ex_cook,firm,all,40,270220,1258,110,22.87272727272727
2022,illinois_ex_cook,firm,all,50,270220,1546,235,13.157446808510638
2022,illinois_ex_cook,firm,all,60,270220,740,93,15.913978494623656
2022,illinois_ex_cook,firm,rows,40,127457,1124,93,24.172043010752688
2022,illinois_ex_cook,firm,rows,50,127457,1457,183,15.923497267759563
2022,illinois_ex_cook,firm,rows,60,127457,687,54,25.444444444444443
2022,illinois_ex_cook,firm,firms,40,125219,1094,78,28.05128205128205
2022,illinois_ex_cook,firm,firms,50,125219,1428,173,16.508670520231213
2022,illinois_ex_cook,firm,firms,60,125219,664,42,31.61904761904762
2023,chicago,establishment,all,40,116605,458,101,9.069306930693068
2023,chicago,establishment,all,50,116605,635,143,8.881118881118882
2023,chicago,establishment,all,60,116605,301,38,15.842105263157896
2023,chicago,establishment,rows,40,38103,407,33,24.666666666666668
2023,chicago,establishment,rows,50,38103,562,99,11.353535353535353
2023,chicago,establishment,rows,60,38103,284,12,47.333333333333336
2023,chicago,firm,all,40,106642,358,90,7.955555555555556
2023,chicago,firm,all,50,106642,488,126,7.746031746031746
2023,chicago,firm,all,60,106642,229,43,10.651162790697674
2023,chicago,firm,rows,40,33375,335,30,22.333333333333332
2023,chicago,firm,rows,50,33375,459,92,9.978260869565217
2023,chicago,firm,rows,60,33375,218,16,27.25
2023,chicago,firm,firms,40,32449,321,24,26.75
2023,chicago,firm,firms,50,32449,435,87,10.0
2023,chicago,firm,firms,60,32449,211,11,38.36363636363637
2023,cook_ex_chicago,establishment,all,40,114089,589,106,11.11320754716981
2023,cook_ex_chicago,establishment,all,50,114089,807,117,13.794871794871796
2023,cook_ex_chicago,establishment,all,60,114089,307,35,17.542857142857144
2023,cook_ex_chicago,establishment,rows,40,42291,495,48,20.625
2023,cook_ex_chicago,establishment,rows,50,42291,730,81,18.02469135802469
2023,cook_ex_chicago,establishment,rows,60,42291,269,6,89.66666666666667
2023,cook_ex_chicago,firm,all,40,101455,442,72,12.277777777777779
2023,cook_ex_chicago,firm,all,50,101455,586,106,11.056603773584905
2023,cook_ex_chicago,firm,all,60,101455,235,38,12.368421052631579
2023,cook_ex_chicago,firm,rows,40,35469,392,28,28.0
2023,cook_ex_chicago,firm,rows,50,35469,550,74,14.864864864864865
2023,cook_ex_chicago,firm,rows,60,35469,215,12,35.833333333333336
2023,cook_ex_chicago,firm,firms,40,34517,381,23,33.130434782608695
2023,cook_ex_chicago,firm,firms,50,34517,532,71,14.985915492957746
2023,cook_ex_chicago,firm,firms,60,34517,208,9,46.22222222222222
2023,illinois_ex_cook,establishment,all,40,336082,1724,234,14.735042735042734
2023,illinois_ex_cook,establishment,all,50,336082,2072,313,13.23961661341853
2023,illinois_ex_cook,establishment,all,60,336082,981,115,17.06086956521739
2023,illinois_ex_cook,establishment,rows,40,152847,1500,117,25.641025641025642
2023,illinois_ex_cook,establishment,rows,50,152847,1940,210,18.476190476190474
2023,illinois_ex_cook,establishment,rows,60,152847,897,44,40.77272727272727
2023,illinois_ex_cook,firm,all,40,287201,1166,163,14.306748466257668
2023,illinois_ex_cook,firm,all,50,287201,1464,252,11.619047619047619
2023,illinois_ex_cook,firm,all,60,287201,680,119,11.428571428571429
2023,illinois_ex_cook,firm,rows,40,123387,1064,90,23.644444444444446
2023,illinois_ex_cook,firm,rows,50,123387,1423,186,15.301075268817204
2023,illinois_ex_cook,firm,rows,60,123387,645,55,23.454545454545453
2023,illinois_ex_cook,firm,firms,40,121051,1044,74,28.216216216216218
2023,illinois_ex_cook,firm,firms,50,121051,1395,173,16.127167630057805
2023,illinois_ex_cook,firm,firms,60,121051,621,42,29.571428571428573
2024,chicago,establishment,all,40,129241,453,129,7.023255813953488
2024,chicago,establishment,all,50,129241,613,163,7.521472392638037
2024,chicago,establishment,all,60,129241,312,51,12.235294117647058
2024,chicago,establishment,rows,40,37544,397,31,25.612903225806452
2024,chicago,establishment,rows,50,37544,563,95,11.852631578947369
2024,chicago,establishment,rows,60,37544,281,12,46.833333333333336
2024,chicago,firm,all,40,118781,373,111,6.7207207207207205
2024,chicago,firm,all,50,118781,483,142,6.802816901408451
2024,chicago,firm,all,60,118781,238,60,7.933333333333334
2024,chicago,firm,rows,40,32905,327,28,23.357142857142858
2024,chicago,firm,rows,50,32905,457,87,10.505747126436782
2024,chicago,firm,rows,60,32905,217,16,27.125
2024,chicago,firm,firms,40,31927,312,23,27.130434782608695
2024,chicago,firm,firms,50,31927,436,83,10.506024096385541
2024,chicago,firm,firms,60,31927,210,10,42.0
2024,cook_ex_chicago,establishment,all,40,121832,531,136,7.8088235294117645
2024,cook_ex_chicago,establishment,all,50,121832,763,143,10.671328671328672
2024,cook_ex_chicago,establishment,all,60,121832,297,50,11.88
2024,cook_ex_chicago,establishment,rows,40,41477,494,45,21.955555555555556
2024,cook_ex_chicago,establishment,rows,50,41477,731,82,17.829268292682926
2024,cook_ex_chicago,establishment,rows,60,41477,268,6,89.33333333333333
2024,cook_ex_chicago,firm,all,40,108605,417,99,8.424242424242424
2024,cook_ex_chicago,firm,all,50,108605,550,116,9.482758620689655
2024,cook_ex_chicago,firm,all,60,108605,239,46,10.391304347826088
2024,cook_ex_chicago,firm,rows,40,34692,393,29,27.103448275862068
2024,cook_ex_chicago,firm,rows,50,34692,549,74,14.837837837837839
2024,cook_ex_chicago,firm,rows,60,34692,218,8,54.5
2024,cook_ex_chicago,firm,firms,40,33694,381,22,34.63636363636363
2024,cook_ex_chicago,firm,firms,50,33694,526,69,15.246376811594203
2024,cook_ex_chicago,firm,firms,60,33694,208,7,59.42857142857143
2024,illinois_ex_cook,establishment,all,40,358588,1628,366,8.896174863387978
2024,illinois_ex_cook,establishment,all,50,358588,2022,338,11.964497041420119
