year,geo,band,n_establishments,n_observed,n_single,employment,employment_observed
2002,cook_ex_chicago,10-49,16124,15902,12463,319586.0,314945.0
2002,cook_ex_chicago,100-249,1584,1560,1010,223564.0,219795.0
2002,cook_ex_chicago,1000+,71,71,36,142390.0,142390.0
2002,cook_ex_chicago,250-499,374,372,200,117272.0,116668.0
2002,cook_ex_chicago,50-99,2828,2794,2110,180697.0,178560.0
2002,cook_ex_chicago,500-999,118,118,62,72873.0,72873.0
2002,cook_ex_chicago,unknown,27630,0,26116,0.0,0.0
2002,il_ex_msa,1-9,118787,100978,105991,371261.0,322411.0
2002,il_ex_msa,10-49,26296,25994,19744,515168.0,509205.0
2002,il_ex_msa,100-249,1876,1863,1265,260898.0,259105.0
2002,il_ex_msa,1000+,103,103,58,219890.0,219890.0
2002,il_ex_msa,250-499,470,470,242,150438.0,150438.0
2002,il_ex_msa,50-99,3779,3736,2799,243632.0,240641.0
2002,il_ex_msa,500-999,169,169,78,108884.0,108884.0
2002,il_ex_msa,unknown,38681,0,36302,0.0,0.0
2002,msa_ex_cook,1-9,71944,59388,65472,232399.0,195571.0
2002,msa_ex_cook,10-49,19038,18776,14603,375601.0,370191.0
2002,msa_ex_cook,100-249,1723,1703,1107,244824.0,241692.0
2002,msa_ex_cook,1000+,84,84,41,165730.0,165730.0
2002,msa_ex_cook,250-499,440,439,238,137257.0,136949.0
2002,msa_ex_cook,50-99,3024,2986,2248,194282.0,191785.0
2002,msa_ex_cook,500-999,146,146,65,88142.0,88142.0
2002,msa_ex_cook,unknown,33462,0,31516,0.0,0.0
2003,chicago,1-9,86407,48352,81956,295576.0,158332.0
2003,chicago,10-49,16351,13724,13689,303824.0,265248.0
2003,chicago,100-249,1579,1528,1113,224297.0,216047.0
2003,chicago,1000+,113,113,54,269478.0,269478.0
2003,chicago,250-499,420,418,258,132023.0,131515.0
2003,chicago,50-99,2389,2359,1859,153784.0,151410.0
2003,chicago,500-999,184,184,109,115954.0,115954.0
2003,chicago,unknown,3415,0,3201,0.0,0.0
2003,cook_ex_chicago,1-9,79582,46493,72989,277059.0,159087.0
2003,cook_ex_chicago,10-49,17870,15945,14053,346108.0,315376.0
2003,cook_ex_chicago,100-249,1584,1519,1026,224165.0,213999.0
2003,cook_ex_chicago,1000+,74,74,36,152190.0,152190.0
2003,cook_ex_chicago,250-499,360,359,198,112869.0,112519.0
2003,cook_ex_chicago,50-99,2810,2750,2116,180104.0,175853.0
2003,cook_ex_chicago,500-999,117,117,61,72601.0,72601.0
2003,cook_ex_chicago,unknown,2700,0,2535,0.0,0.0
2003,il_ex_msa,1-9,145711,99642,131443,468050.0,318936.0
2003,il_ex_msa,10-49,28073,25864,21452,540985.0,506396.0
2003,il_ex_msa,100-249,1886,1828,1282,263209.0,254536.0
2003,il_ex_msa,1000+,101,101,56,228729.0,228729.0
2003,il_ex_msa,250-499,452,452,237,144467.0,144467.0
2003,il_ex_msa,50-99,3768,3694,2776,242554.0,237278.0
2003,il_ex_msa,500-999,155,155,70,100442.0,100442.0
2003,il_ex_msa,unknown,5414,0,4875,0.0,0.0
2003,msa_ex_cook,1-9,100530,60262,92281,335002.0,198227.0
2003,msa_ex_cook,10-49,20951,18894,16219,403520.0,371693.0
2003,msa_ex_cook,100-249,1757,1688,1127,250054.0,239441.0
2003,msa_ex_cook,1000+,75,75,35,149170.0,149170.0
2003,msa_ex_cook,250-499,427,427,229,133168.0,133168.0
2003,msa_ex_cook,50-99,3074,3017,2289,197967.0,193925.0
2003,msa_ex_cook,500-999,144,144,59,87662.0,87662.0
2003,msa_ex_cook,unknown,3034,0,2864,0.0,0.0
2004,chicago,1-9,82379,46725,77914,283266.0,153822.0
2004,chicago,10-49,15957,13305,13214,293027.0,255125.0
2004,chicago,100-249,1490,1442,1056,213185.0,205364.0
2004,chicago,1000+,101,101,46,214287.0,214287.0
2004,chicago,250-499,396,393,245,124489.0,123727.0
2004,chicago,50-99,2331,2299,1803,150138.0,147605.0
2004,chicago,500-999,183,183,105,115958.0,115958.0
2004,chicago,unknown,2213,0,2004,0.0,0.0
2004,cook_ex_chicago,1-9,76526,45752,69957,267329.0,157184.0
2004,cook_ex_chicago,10-49,17735,15833,13817,340814.0,311255.0
2004,cook_ex_chicago,100-249,1552,1486,1008,219277.0,209069.0
2004,cook_ex_chicago,1000+,74,74,35,167206.0,167206.0
2004,cook_ex_chicago,250-499,351,351,196,109870.0,109870.0
2004,cook_ex_chicago,50-99,2783,2723,2104,178262.0,173990.0
2004,cook_ex_chicago,500-999,119,119,63,73805.0,73805.0
2004,cook_ex_chicago,unknown,1949,0,1787,0.0,0.0
2004,il_ex_msa,1-9,142613,100683,128151,458057.0,322741.0
2004,il_ex_msa,10-49,28284,26202,21420,544399.0,512253.0
2004,il_ex_msa,100-249,1865,1810,1262,258768.0,250492.0
2004,il_ex_msa,1000+,93,93,56,195366.0,195366.0
2004,il_ex_msa,250-499,451,451,227,143456.0,143456.0
2004,il_ex_msa,50-99,3853,3779,2842,248738.0,243439.0
2004,il_ex_msa,500-999,163,163,78,105652.0,105652.0
2004,il_ex_msa,unknown,4793,0,4231,0.0,0.0
2004,msa_ex_cook,1-9,99025,60805,90517,331942.0,201776.0
2004,msa_ex_cook,10-49,21173,19164,16239,404616.0,374595.0
2004,msa_ex_cook,100-249,1729,1669,1106,247042.0,237841.0
2004,msa_ex_cook,1000+,75,75,40,142769.0,142769.0
2004,msa_ex_cook,250-499,413,413,232,128619.0,128619.0
2004,msa_ex_cook,50-99,3104,3043,2314,198702.0,194415.0
2004,msa_ex_cook,500-999,131,131,52,79890.0,79890.0
2004,msa_ex_cook,unknown,2348,0,2165,0.0,0.0
2005,chicago,1-9,86982,46980,82032,303264.0,154947.0
2005,chicago,10-49,16404,13285,13442,297841.0,254539.0
2005,chicago,100-249,1497,1447,1042,213866.0,205759.0
2005,chicago,1000+,99,99,45,209079.0,209079.0
2005,chicago,250-499,398,395,244,125228.0,124466.0
2005,chicago,50-99,2325,2291,1792,149790.0,147151.0
2005,chicago,500-999,181,181,102,114774.0,114774.0
2005,chicago,unknown,3521,0,3298,0.0,0.0
2005,cook_ex_chicago,1-9,82840,45311,75708,292677.0,156528.0
2005,cook_ex_chicago,10-49,18156,15694,14002,346365.0,309039.0
2005,cook_ex_chicago,100-249,1554,1486,1010,219093.0,208675.0
2005,cook_ex_chicago,1000+,78,78,36,183956.0,183956.0
2005,cook_ex_chicago,250-499,349,349,188,109869.0,109869.0
2005,cook_ex_chicago,50-99,2758,2697,2081,176417.0,172164.0
2005,cook_ex_chicago,500-999,113,113,57,70351.0,70351.0
2005,cook_ex_chicago,unknown,2865,0,2699,0.0,0.0
2005,il_ex_msa,1-9,150326,101358,134808,487257.0,326247.0
2005,il_ex_msa,10-49,29059,26401,21923,555749.0,515352.0
2005,il_ex_msa,100-249,1910,1843,1281,264819.0,254779.0
2005,il_ex_msa,1000+,88,88,52,196941.0,196941.0
2005,il_ex_msa,250-499,461,461,235,147209.0,147209.0
2005,il_ex_msa,50-99,3893,3824,2852,251313.0,246258.0
2005,il_ex_msa,500-999,167,167,82,107361.0,107361.0
2005,il_ex_msa,unknown,6631,0,6056,0.0,0.0
2005,msa_ex_cook,1-9,107271,61553,97827,362953.0,204958.0
2005,msa_ex_cook,10-49,22055,19473,16833,418677.0,379914.0
2005,msa_ex_cook,100-249,1747,1688,1117,249077.0,240005.0
2005,msa_ex_cook,1000+,75,75,38,147720.0,147720.0
2005,msa_ex_cook,250-499,410,410,230,128074.0,128074.0
2005,msa_ex_cook,50-99,3149,3095,2326,201712.0,197863.0
2005,msa_ex_cook,500-999,128,128,55,79768.0,79768.0
2005,msa_ex_cook,unknown,3506,0,3307,0.0,0.0
2006,chicago,1-9,83933,45797,78828,294948.0,154244.0
2006,chicago,10-49,16470,13571,13633,303562.0,261549.0
2006,chicago,100-249,1529,1474,1022,217595.0,208706.0
2006,chicago,1000+,115,115,52,247611.0,247611.0
2006,chicago,250-499,391,390,215,123646.0,123296.0
2006,chicago,50-99,2402,2374,1814,154350.0,152098.0
2006,chicago,500-999,176,176,93,110388.0,110388.0
2006,chicago,unknown,2014,0,1765,0.0,0.0
2006,cook_ex_chicago,1-9,83044,43766,75562,294386.0,152323.0
2006,cook_ex_chicago,10-49,18096,15445,13897,344159.0,304188.0
2006,cook_ex_chicago,100-249,1551,1475,1005,218934.0,207244.0
2006,cook_ex_chicago,1000+,84,84,40,193414.0,193414.0
2006,cook_ex_chicago,250-499,354,354,189,111253.0,111253.0
2006,cook_ex_chicago,50-99,2777,2716,2031,177936.0,173428.0
2006,cook_ex_chicago,500-999,113,113,56,70040.0,70040.0
2006,cook_ex_chicago,unknown,1965,0,1760,0.0,0.0
2006,il_ex_msa,1-9,146578,98505,130727,476773.0,318832.0
2006,il_ex_msa,10-49,29288,26408,21947,560071.0,513949.0
2006,il_ex_msa,100-249,1998,1918,1322,277483.0,265324.0
2006,il_ex_msa,1000+,97,96,54,214936.0,213152.0
2006,il_ex_msa,250-499,464,464,230,149256.0,149256.0
2006,il_ex_msa,50-99,3945,3883,2821,254576.0,249936.0
2006,il_ex_msa,500-999,176,176,84,113503.0,113503.0
2006,il_ex_msa,unknown,5238,0,4618,0.0,0.0
2006,msa_ex_cook,1-9,108322,60316,98252,368259.0,202539.0
2006,msa_ex_cook,10-49,22576,19837,16942,428556.0,387513.0
2006,msa_ex_cook,100-249,1891,1801,1199,266236.0,252298.0
2006,msa_ex_cook,1000+,74,72,37,151088.0,147520.0
2006,msa_ex_cook,250-499,416,416,221,129821.0,129821.0
2006,msa_ex_cook,50-99,3332,3274,2448,213010.0,208722.0
2006,msa_ex_cook,500-999,139,139,63,87053.0,87053.0
2006,msa_ex_cook,unknown,2770,0,2524,0.0,0.0
2007,chicago,1-9,95476,44755,89814,313317.0,151993.0
2007,chicago,10-49,16894,13694,13631,311516.0,263979.0
2007,chicago,100-249,1541,1494,986,217927.0,210686.0
2007,chicago,1000+,116,116,48,246274.0,246274.0
2007,chicago,250-499,416,399,220,130907.0,125650.0
2007,chicago,50-99,2559,2404,1938,165547.0,153849.0
2007,chicago,500-999,177,177,86,110884.0,110884.0
2007,chicago,unknown,165,0,44,0.0,0.0
2007,cook_ex_chicago,1-9,85917,43834,78453,299158.0,154385.0
2007,cook_ex_chicago,10-49,18994,15993,14514,362449.0,314196.0
2007,cook_ex_chicago,100-249,1626,1543,995,228605.0,216040.0
2007,cook_ex_chicago,1000+,82,82,38,192505.0,192505.0
2007,cook_ex_chicago,250-499,392,373,209,122490.0,116920.0
2007,cook_ex_chicago,50-99,3025,2841,2228,194412.0,180953.0
2007,cook_ex_chicago,500-999,122,122,64,76181.0,76181.0
2007,cook_ex_chicago,unknown,141,0,30,0.0,0.0
2007,il_ex_msa,1-9,149255,98207,133323,483546.0,318701.0
2007,il_ex_msa,10-49,30892,26725,22941,591419.0,520108.0
2007,il_ex_msa,100-249,2069,2000,1329,286629.0,275757.0
2007,il_ex_msa,1000+,107,107,65,248513.0,248513.0
2007,il_ex_msa,250-499,499,485,255,160147.0,155607.0
2007,il_ex_msa,50-99,4274,4050,3087,276655.0,260243.0
2007,il_ex_msa,500-999,180,180,84,116459.0,116459.0
2007,il_ex_msa,unknown,164,0,61,0.0,0.0
2007,msa_ex_cook,1-9,106120,58940,96351,361225.0,200414.0
2007,msa_ex_cook,10-49,23555,20175,17477,447547.0,394131.0
2007,msa_ex_cook,100-249,2011,1913,1228,282491.0,267300.0
2007,msa_ex_cook,1000+,78,78,39,173372.0,173372.0
2007,msa_ex_cook,250-499,438,426,231,137204.0,133344.0
2007,msa_ex_cook,50-99,3548,3368,2603,227868.0,215097.0
2007,msa_ex_cook,500-999,140,140,61,87552.0,87552.0
2007,msa_ex_cook,unknown,208,0,87,0.0,0.0
2008,chicago,1-9,99539,43950,93905,321332.0,151821.0
2008,chicago,10-49,16811,14008,13727,311504.0,269344.0
2008,chicago,100-249,1568,1541,1040,220039.0,215972.0
2008,chicago,1000+,121,121,55,265351.0,265351.0
2008,chicago,250-499,437,419,259,137573.0,132226.0
2008,chicago,50-99,2597,2458,2000,167624.0,157015.0
2008,chicago,500-999,189,189,100,117755.0,117755.0
2008,chicago,unknown,201,0,54,0.0,0.0
2008,cook_ex_chicago,1-9,89039,42918,81074,310592.0,152167.0
2008,cook_ex_chicago,10-49,19150,15877,14608,363867.0,311525.0
2008,cook_ex_chicago,100-249,1672,1605,1037,234027.0,224257.0
2008,cook_ex_chicago,1000+,88,88,44,200840.0,200840.0
2008,cook_ex_chicago,250-499,400,383,213,124912.0,119792.0
2008,cook_ex_chicago,50-99,3147,2959,2315,201403.0,187769.0
2008,cook_ex_chicago,500-999,128,128,66,80325.0,80325.0
2008,cook_ex_chicago,unknown,171,0,38,0.0,0.0
2008,il_ex_msa,1-9,145512,96466,129633,472763.0,314295.0
2008,il_ex_msa,10-49,30375,26595,22567,581007.0,516528.0
2008,il_ex_msa,100-249,2087,2039,1346,290921.0,284398.0
2008,il_ex_msa,1000+,115,115,70,280673.0,280673.0
2008,il_ex_msa,250-499,496,481,250,160915.0,156085.0
2008,il_ex_msa,50-99,4301,4105,3106,278211.0,263465.0
2008,il_ex_msa,500-999,177,177,86,114660.0,114660.0
2008,il_ex_msa,unknown,188,0,71,0.0,0.0
2008,msa_ex_cook,1-9,113109,60004,102455,385225.0,205100.0
2008,msa_ex_cook,10-49,24511,20868,18166,465927.0,406831.0
2008,msa_ex_cook,100-249,2116,2023,1274,294895.0,281579.0
2008,msa_ex_cook,1000+,84,84,43,185739.0,185739.0
2008,msa_ex_cook,250-499,478,469,258,150176.0,147346.0
2008,msa_ex_cook,50-99,3707,3541,2745,237672.0,225734.0
2008,msa_ex_cook,500-999,154,154,78,94545.0,94545.0
2008,msa_ex_cook,unknown,230,0,81,0.0,0.0
2009,chicago,1-9,96973,41774,91297,313532.0,144487.0
2009,chicago,10-49,16327,13461,13166,301549.0,258346.0
2009,chicago,100-249,1481,1444,948,207672.0,201872.0
2009,chicago,1000+,117,117,44,281776.0,281776.0
2009,chicago,250-499,392,379,218,123857.0,119970.0
2009,chicago,50-99,2514,2392,1909,161558.0,152741.0
2009,chicago,500-999,189,189,96,118299.0,118299.0
2009,chicago,unknown,245,0,81,0.0,0.0
2009,cook_ex_chicago,1-9,82250,41262,74838,286986.0,146829.0
2009,cook_ex_chicago,10-49,18141,15344,13779,342828.0,298176.0
2009,cook_ex_chicago,100-249,1626,1562,1003,227845.0,218197.0
2009,cook_ex_chicago,1000+,74,74,30,159758.0,159758.0
2009,cook_ex_chicago,250-499,371,363,188,116050.0,113680.0
